617-31 ,ART 215 I DO CTB ,DEIXAR DE DAR PREFERENCIA EM INTERSECAO N SINALIZ A VEIC CIRCULANDO POR RODOVIA 
617-32 ,ART 215 I DO CTB ,DEIXAR DE DAR PREFERENCIA EM INTERSECAO N SINALIZ VEIC CIRCULANDO POR ROTATORIA 
617-33 ,ART 215 I DO CTB ,DEIXAR DE DAR PREFER EM INTERSECAO NAO SINALIZADA A VEICULO QUE VIER DA DIREITA 
618-10 ,ART 215 II DO CTB ,DEIXAR DE DAR PREFERENCIA NAS INTERSECOES COM SINALIZACAO DE DE A PREFERENCIA 
619-00 ,ART 216 DO CTB ,ENTRAR/SAIR AREA LINDEIRA SEM PRECAUCAO COM A SEGURANCA DE PEDESTRES E VEICULOS 
620-30 ,ART 217 DO CTB ,ENTRAR/SAIR DE FILA DE VEICULOS ESTACIONADOS SEM DAR PREF A PEDESTRES/VEICULOS 
*621-10 ,ART 218 I A DO CTB ,TRANSITAR EM VELOCIDADE SUPER MAX PERMITIDA EM ATE 20% - INFRACOES ATE 25.07.06 
*622-00 ,ART 218 I B DO CTB ,TRANSITAR EM VELOC SUPER A MAX PERMITIDA EM MAIS DE 20% - INFRACOES ATE 25.07.06 
*623-80 ,ART 218 II A DO CTB ,TRANSITAR EM VELOC SUPER A MAX PERMITIDA EM ATE DE 50% - INFRACOES ATE 25.07.06 
*624-60 ,ART 218 II B DO CTB ,TRANSITAR EM VELOC SUPER A MAX PERMITIDA EM MAIS DE 50% - INFRACOES ATE 25.07.06 
625-40 ,ART 219 DO CTB ,TRANSITAR EM VELOCIDADE INFERIOR A METADE DA MAXIMA DA VIA SALVO FAIXA DIREITA 
626-20 ,ART 220 I DO CTB ,DEIXAR DE REDUZIR A VELOC QDO SE APROXIMAR DE PASSEATA/AGLOMERACAO/DESFILE/ETC 
627-00 ,ART 220 II DO CTB ,DEIXAR DE REDUZIR A VELOC ONDE O TRANSITO ESTEJA SENDO CONTROLADO PELO AGENTE 
628-91 ,ART 220 III DO CTB ,DEIXAR DE REDUZIR A VELOCIDADE DO VEICULO AO APROXIMAR-SE DA GUIA DA CALCADA 
628-92 ,ART 220 III DO CTB ,DEIXAR DE REDUZIR A VELOCIDADE DO VEICULO AO APROXIMAR-SE DO ACOSTAMENTO 
629-70 ,ART 220 IV DO CTB ,DEIXAR DE REDUZIR VELOCIDADE DO VEICULO AO APROXIMAR-SE INTERSECAO N SINALIZADA 
630-00 ,ART 220 V DO CTB ,DEIXAR REDUZIR VELOCIDADE NAS VIAS RURAIS CUJA FAIXA DOMINIO NAO ESTEJA CERCADA 
631-90 ,ART 220 VI DO CTB ,DEIXAR DE REDUZIR A VELOCIDADE NOS TRECHOS EM CURVA DE PEQUENO RAIO 
632-70 ,ART 220 VII DO CTB ,DEIXAR DE REDUZIR VELOC AO APROXIMAR LOCAL SINALIZ ADVERT DE OBRAS/TRABALHADORES 
633-50 ,ART 220 VIII DO CTB ,DEIXAR DE REDUZIR A VELOCIDADE SOB CHUVAEBLINA/CERRACAO/VENTOS FORTES 
634-30 ,ART 220 IX DO CTB ,DEIXAR DE REDUZIR A VELOCIDADE QUANDO HOUVER MA VISIBILIDADE 
635-10 ,ART 220 X DO CTB ,DEIXAR DE REDUZIR VELOC QDO PAVIMENTO SE APRESENTAR ESCORREG/DEFEITUOSO/AVARIADO 
636-00 ,ART 220 XI DO CTB ,DEIXAR DE REDUZIR A VELOCIDADE A APROXIMACAO DE ANIMAIS NA PISTA 
637-80 ,ART 220 XII DO CTB ,DEIXAR DE REDUZIR A VELOCIDADE DE FORMA COMPATIVEL COM A SEGURANCA EM DECLIVE 
638-60 ,ART 220 XIII DO CTB ,DEIXAR DE REDUZIR VELOC DE FORMA COMPATIVEL C/ SEGURANCA AO ULTRAPASSAR CICLISTA 
639-41 ,ART 220 XIV DO CTB ,DEIXAR DE REDUZIR A VELOCIDADE NAS PROXIMIDADES DE ESCOLAS 
639-42 ,ART 220 XIV DO CTB ,DEIXAR DE REDUZIR A VELOCIDADE NAS PROXIMIDADES DE HOSPITAIS 
639-43 ,ART 220 XIV DO CTB ,DEIXAR DE REDUZIR VELOC NA PROXIM ESTACAO EMBARQUE/DESEMBARQUE PASSAGEIROS 
639-44 ,ART 220 XIV DO CTB ,DEIXAR DE REDUZIR VELOC ONDE HAJA INTENSA MOVIMENTACAO DE PEDESTRES 
640-80 ,ART 221 DO CTB ,PORTAR NO VEICULO PLACAS DE IDENTIFICACAO EM DESACORDO C/ ESPECIF/MODELO CONTRAN 
641-60 ,ART 221 P. UN DO CTB ,CONFEC/DISTRIBUIR/COLOCAR VEIC PROPRIO/TERCEIRO PLACA IDENTIF DESACORDO CONTRAN 
642-40 ,ART 222 DO CTB ,DEIXAR DE MANTER LIGADO EM EMERG SIST ILUM VERMELHA INTERMITENTE AINDA Q PARADO 
643-21 ,ART 223 DO CTB ,TRANSITAR COM FAROL DESREGULADO PERTURBANDO VISAO OUTRO CONDUTOR 
643-22 ,ART 223 DO CTB ,TRANSITAR COM O FACHO DE LUZ ALTA PERTURBANDO VISAO OUTRO CONDUTOR 
644-00 ,ART 224 DO CTB ,FAZER USO DO FACHO DE LUZ ALTA DOS FAROIS EM VIAS PROVIDAS DE ILUMINACAO PUBLICA 
645-91 ,ART 225 I DO CTB ,DEIXAR DE SINALIZAR VIA P/ TORNAR VISIVEL LOCAL QDO TIVER REMOVER VEIC DA PISTA 
645-92 ,ART 225 I DO CTB ,DEIXAR DE SINALIZAR A VIA P/ TORNAR VISIVEL O LOCAL QDO PERMANECER ACOSTAMENTO 
646-70 ,ART 225 II DO CTB ,DEIXAR DE SINALIZAR A VIA P/ TORNAR VISIVEL O LOCAL QDO A CARGA FOR DERRAMADA 
647-50 ,ART 226 DO CTB ,DEIXAR DE RETIRAR QUALQUER OBJETO UTILIZADO PARA SINALIZACAO TEMPORARIA DA VIA 
648-30 ,ART 227 I DO CTB ,USAR BUZINA QUE NAO A DE TOQUE BREVE COMO ADVERTENCIA A PEDESTRE OU CONDUTORES 
649-10 ,ART 227 II DO CTB ,USAR BUZINA PROLONGADA E SUCESSIVAMENTE A QUALQUER PRETEXTO 
650-50 ,ART 227 III DO CTB ,USAR BUZINA ENTRE AS VINTE E DUAS E AS SEIS HORAS 
651-30 ,ART 227 IV DO CTB ,USAR BUZINA EM LOCAIS E HORARIOS PROIBIDOS PELA SINALIZACAO 
652-10 ,ART 227 V DO CTB ,USAR BUZINA EM DESACORDO C/ OS PADROES E FREQUENCIAS ESTABELECIDAS PELO CONTRAN 
653-00 ,ART 228 DO CTB ,USAR NO VEICULO EQUIP C/ SOM EM VOLUME/FREQUENCIA NAO AUTORIZADOS PELO CONTRAN 
654-81 ,ART 229 DO CTB ,USAR NO VEIC ALARME Q PERTURBE O SOSSEGO PUBLICO EM DESACORDO NORMAS DO CONTRAN 
654-82 ,ART 229 DO CTB ,USAR NO VEIC APARELHO PRODUZA SOM/RUIDO PERTURBE SOSSEGO PUBLIC DESAC C/ CONTRAN 
655-61 ,ART 230 I DO CTB ,CONDUZIR O VEICULO COM O LACRE DE IDENTIFICACAO VIOLADO/FALSIFICADO 
655-62 ,ART 230 I DO CTB ,CONDUZIR O VEICULO COM A INSCRICAO DO CHASSI VIOLADA/FALSIFICADA 
655-63 ,ART 230 I DO CTB ,CONDUZIR O VEICULO COM O SELO VIOLADO/FALSIFICADO 
655-64 ,ART 230 I DO CTB ,CONDUZIR O VEICULO COM A PLACA VIOLADA/FALSIFICADA 
655-65 ,ART 230 I DO CTB ,CONDUZIR O VEICULO COM QUALQUER OUTRO ELEM DE IDENTIFICACAO VIOLADO/FALSIFICADO 
656-40 ,ART 230 II DO CTB ,CONDUZIR O VEICULO TRANSPORTANDO PASSAGEIROS EM COMPARTIMENTO DE CARGA 
657-20 ,ART 230 III DO CTB ,CONDUZIR O VEICULO COM DISPOSITIVO ANTI-RADAR 
658-00 ,ART 230 IV DO CTB ,CONDUZIR O VEICULO SEM QUALQUER UMA DAS PLACAS DE IDENTIFICACAO 
659-91 ,ART 230 V DO CTB ,CONDUZIR O VEICULO QUE NAO ESTEJA REGISTRADO 
659-92 ,ART 230 V DO CTB ,CONDUZIR O VEICULO REGISTRADO QUE NAO ESTEJA DEVIDAMENTE LICENCIADO 
660-20 ,ART 230 VI DO CTB ,CONDUZIR O VEICULO COM QUALQUER UMA DAS PLACAS SEM LEGIBILIDADE E VISIBILIDADE 
661-01 ,ART 230 VII DO CTB ,CONDUZIR O VEICULO COM A COR ALTERADA 
661-02 ,ART 230 VII DO CTB ,CONDUZIR O VEICULO COM CARACTERISTICA ALTERADA 
662-90 ,ART 230 VIII DO CTB ,CONDUZIR VEICULO S/ TER SIDO SUBMETIDO A INSPECAO SEG VEICULAR QDO OBRIGATORIA 
663-71 ,ART 230 IX DO CTB ,CONDUZIR O VEICULO SEM EQUIPAMENTO OBRIGATORIO 
663-72 ,ART 230 IX DO CTB ,CONDUZIR O VEICULO COM EQUIPAMENTO OBRIGATORIO INEFICIENTE/INOPERANTE 
664-50 ,ART 230 X DO CTB ,CONDUZIR O VEICULO COM EQUIP OBRIGATORIO EM DESACORDO COM O ESTAB PELO CONTRAN 
665-31 ,ART 230 XI DO CTB ,CONDUZIR O VEICULO COM DESCARGA LIVRE 
665-32 ,ART 230 XI DO CTB ,CONDUZIR O VEICULO COM SILENCIADOR DE MOTOR DEFEITUOSO/DEFICIENTE/INOPERANTE 
666-10 ,ART 230 XII DO CTB ,CONDUZIR O VEICULO COM EQUIPAMENTO OU ACESSORIO PROIBIDO 
667-00 ,ART 230 XIII DO CTB ,CONDUZIR O VEICULO C/ EQUIP DO SISTEMA DE ILUMINACAO E DE SINALIZACAO ALTERADOS 
668-80 ,ART 230 XIV DO CTB ,CONDUZIR VEIC C/ REGISTRADOR INSTAN INALT DE VELOCIDADE/TEMPO VICIADO/DEFEITUOSO 
669-61 ,ART 230 XV DO CTB ,CONDUZIR C/ INSCR/ADESIVO/LEGENDA/SIMBOLO AFIXADO PARA-BRISA E EXTENSAO TRASEIRA 
669-62 ,ART 230 XV DO CTB ,CONDUZIR C/ INSCR/ADESIVO/LEGENDA/SIMBOLO PINTADO PARA-BRISA E EXTENSAO TRASEIRA 
670-01 ,ART 230 XVI DO CTB ,CONDUZIR O VEICULO COM VIDROS TOTALMENTE COBERTOS POR PELICULA PAINEIS/PINTURA 
670-02 ,ART 230 XVI DO CTB ,CONDUZIR O VEICULO C/ VIDROS PARCIALMENTE COBERTOS POR PELICULA PAINEIS/PINTURA 
671-80 ,ART 230 XVII DO CTB ,CONDUZIR O VEICULO COM CORTINAS OU PERSIANAS FECHADAS 
672-61 ,ART 230XVIII DO CTB ,CONDUZIR O VEICULO EM MAU ESTADO DE CONSERVACAO 
672-62 ,ART 230XVIII DO CTB ,CONDUZIR O VEICULO REPROVADO NA AVALIACAO DE INSPECAO DE SEGURANCA 
672-63 ,ART 230XVIII DO CTB ,CONDUZIR O VEICULO REPROVADO NA AVALIACAO DE EMISSAO DE POLUENTES E RUIDO 
673-40 ,ART 230 XIX DO CTB ,CONDUZIR O VEICULO SEM ACIONAR O LIMPADOR DE PARA-BRISA SOB CHUVA 
674-20 ,ART 230 XX DO CTB ,CONDUZIR O VEICULO SEM PORTAR A AUTORIZACAO PARA CONDUCAO DE ESCOLARES 
675-00 ,ART 230 XXI DO CTB ,CONDUZIR O VEIC DE CARGA C/ FALTA INSCRICAO DA TARA E DEMAIS PREVISTAS NO CTB 
676-91 ,ART 230 XXII DO CTB ,CONDUZIR O VEICULO COM DEFEITO NO SISTEMA DE ILUMINACAO 
676-92 ,ART 230 XXII DO CTB ,CONDUZIR O VEICULO COM DEFEITO NO SISTEMA DE SINALIZACAO 
676-93 ,ART 230 XXII DO CTB ,CONDUZIR O VEICULO COM LAMPADAS QUEIMADAS 
677-70 ,ART 231 I DO CTB ,TRANSITAR COM O VEICULO DANIFICANDO A VIA SUAS INSTALACOES E EQUIPAMENTOS 
678-51 ,ART 231 II A DO CTB ,TRANSITAR COM VEICULO DERRAMANDO A CARGA QUE ESTEJA TRANSPORTANDO 
678-52 ,ART 231 II A DO CTB ,TRANSITAR COM VEICULO LANCANDO A CARGA QUE ESTEJA TRANSPORTANDO 
678-53 ,ART 231 II A DO CTB ,TRANSITAR COM VEICULO ARRASTANDO A CARGA QUE ESTEJA TRANSPORTANDO 
679-30 ,ART 231 II B DO CTB ,TRANSITAR COM VEIC DERRAMANDO/LANCANDO COMBUSTIVEL/LUBRIF QUE ESTEJA UTILIZANDO 
680-70 ,ART 231 II C DO CTB ,TRANSITAR C/ VEIC DERRAMANDO/LANCANDO/ARRASTANDO QQ OBJETO COM RISCO DE ACIDENTE 
681-50 ,ART 231 III DO CTB ,TRANSITAR COM VEICULO PRODUZINDO FUMACA GASES OU PARTICULAS EM DESC C/ CONTRAN 
682-31 ,ART 231 IV DO CTB ,TRANSITAR C/ VEIC E/OU CARGA C/ DIMENSOES SUPERIORES LIMITE LEGAL S/ AUTORIZACAO 
682-32 ,ART 231 IV DO CTB ,TRANSITAR C/ VEIC E/OU CARGA C/ DIMENSOES SUPERIORES EST P/SINALIZACAO S/AUTORIZ 
683-10 ,ART 231 V DO CTB ,TRANSITAR COM O VEICULO COM EXCESSO DE PESO 
684-01 ,ART 231 VI DO CTB ,TRANSITAR EM DESACORDO C/ AUTORIZACAO EXPEDIDA P/VEICULO C/ DIMENSOES EXCEDENTES 
684-02 ,ART 231 VI DO CTB ,TRANSITAR COM AUTORIZACAO VENCIDA EXPEDIDA P/ VEICULO C/ DIMENSOES EXCEDENTES 
685-80 ,ART 231 VII DO CTB ,TRANSITAR COM O VEICULO COM LOTACAO EXCEDENTE 
686-61 ,ART 231 VIII DO CTB ,TRANSITAR EFETUANDO TRANSPORTE REMUNERADO DE PESSOAS QDO N LICENCIADO P/ESSE FIM 
686-62 ,ART 231 VIII DO CTB ,TRANSITAR EFETUANDO TRANSPORTE REMUNERADO DE BENS QDO NAO LICENCIADO P/ ESSE FIM 
687-41 ,ART 231 IX DO CTB ,TRANSITAR COM O VEICULO DESLIGADO EM DECLIVE 
687-42 ,ART 231 IX DO CTB ,TRANSITAR COM O VEICULO DESENGRENADO EM DECLIVE 
688-20 ,ART 231 X DO CTB ,TRANSITAR COM O VEICULO EXCEDENDO A CAPACIDADE MAXIMA DE TRACAO - MEDIA 
689-00 ,ART 231 X DO CTB ,TRANSITAR COM O VEICULO EXCEDENDO A CAPACIDADE MAXIMA DE TRACAO - GRAVE 
690-40 ,ART 230 X DO CTB ,TRANSITAR COM O VEICULO EXCEDENDO A CAPACIDADE MAXIMA DE TRACAO - GRAVISSIMA 
691-20 ,ART 232 DO CTB ,CONDUZIR VEICULO SEM OS DOCUMENTOS DE PORTE OBRIGATORIO REFERIDOS NO CTB 
692-00 ,ART 233 DO CTB ,DEIXAR DE EFETUAR REGISTRO DE VEICULO NO PRAZO DE TRINTA DIAS 
693-91 ,ART 234 DO CTB ,FALSIFICAR DOCUMENTO DE HABILITACAO 
693-92 ,ART 234 DO CTB ,ADULTERAR DOCUMENTO DE HABILITACAO 
693-93 ,ART 234 DO CTB ,FALSIFICAR DOCUMENTO DE IDENTIFICACAO DO VEICULO 
693-94 ,ART 234 DO CTB ,ADULTERAR DOCUMENTO DE IDENTIFICACAO DO VEICULO 
694-71 ,ART 235 DO CTB ,CONDUZIR PESSOAS NAS PARTES EXTERNAS DO VEICULO 
694-72 ,ART 235 DO CTB ,CONDUZIR ANIMAIS NAS PARTES EXTERNAS DO VEICULO 
694-73 ,ART 235 DO CTB ,CONDUZIR CARGA NAS PARTES EXTERNAS DO VEICULO 
695-50 ,ART 236 DO CTB ,REBOCAR OUTRO VEICULO COM CABO FLEXIVEL OU CORDA 
696-31 ,ART 237 DO CTB ,TRANSITAR C/ VEIC EM DESACORDO C/ ESPECIFICACOES NECESSARIAS A SUA IDENTIFICACAO 
696-32 ,ART 237 DO CTB ,TRANSITAR COM VEICULO COM FALTA DE INSCRICAO NECESSARIA A SUA IDENTIFICACAO 
696-33 ,ART 237 DO CTB ,TRANSITAR COM VEICULO COM FALTA DE SIMBOLOGIA NECESSARIA A SUA IDENTIFICACAO 
697-10 ,ART 238 DO CTB ,RECUSAR-SE A ENTREGAR CNH/CRV/CRLV/ OUTROS DOCUMENTOS 
698-00 ,ART 239 DO CTB ,RETIRAR DO LOCAL VEICULO LEGALMENTE RETIDO PARA REGULARIZACAO SEM PERMISSAO 
699-80 ,ART 240 DO CTB ,DEIXAR RESPONSAVEL DE PROMOVER BAIXA REGISTRO DE VEIC IRRECUPERAVEL/DESMONTADO 
700-51 ,ART 241 DO CTB ,DEIXAR DE ATUALIZAR O CADASTRO DE REGISTRO DO VEICULO 
700-52 ,ART 241 DO CTB ,DEIXAR DE ATUALIZAR O CADASTRO DE HABILITACAO DO CONDUTOR 
701-31 ,ART 242 DO CTB ,FAZER FALSA DECLARACAO DE DOMICILIO PARA FINS DE REGISTRO/LICENCIAMENTO 
701-32 ,ART 242 DO CTB ,FAZER FALSA DECLARACAO DE DOMICILIO PARA FINS DE HABILITACAO 
702-10 ,ART 243 DO CTB ,DEIXAR SEGURADORA DE COMUNICAR OCORRENCIA PERDA TOTAL VEIC E DEVOLVER PLACAS/DOC 
703-01 ,ART 244 I DO CTB ,CONDUZIR MOTOCICLETA MOTONETA E CICLOMOTOR SEM CAPACETE DE SEGURANCA 
703-02 ,ART 244 I DO CTB ,CONDUZIR MOTOCICLETA/MOTONETA/CICLOMOTOR C/ CAPACETE S/ VISEIRA/OCULOS PROTECAO 
703-03 ,ART 244 I DO CTB ,CONDUZIR MOTOCICLETA MOTONETA E CICLOMOTOR SEM VESTUARIO APROVADO PELO CONTRAN 
704-81 ,ART 244 II DO CTB ,CONDUZIR MOTOCICLETA MOTONETA E CICLOMOTOR TRANSPORTANDO PASSAGEIRO S/ CAPACETE 
704-82 ,ART 244 II DO CTB ,CONDUZIR MOTOCICLETA/MOTONETA/CICLOMOTOR TRANSP. PASSAG S/ VISEIRA/OCULOS PROTEC 
704-83 ,ART 244 II DO CTB ,CONDUZIR MOTOCILCETA/MOTONETA/CICLOMOTOR TRANSPORANDO PAS. FORA DO ASSENTO 
705-61 ,ART 244 III DO CTB ,CONDUZIR MOTOC/MOTON/CICLOMOTOR FAZENDO MALABARISMO/EQUILIBRANDO-SE EM UMA RODA 
705-62 ,ART 244 III DO CTB ,CONDUZIR CICLO FAZENDO MALABARISMO OU EQUILIBRANDO-SE EM UMA RODA 
706-40 ,ART 244 IV DO CTB ,CONDUZIR MOTOCICLETA MOTONETA E CICLOMOTOR COM OS FAROIS APAGADOS 
707-21 ,ART 244 V DO CTB ,CONDUZIR MOTOCICLETA/MOTONETA/CICLOMOTOR TRANSPORTANDO CRIANCA MENOR DE 7 ANOS 
707-22 ,ART 244 V DO CTB ,CONDUZIR MOTOC/MOTON/CICLOM TRANSP CRIANCA S/ CONDICAO CUIDAR PROPRIA SEGURANCA 
708-00 ,ART 244 VI DO CTB ,CONDUZIR MOTOCICLETA MOTONETA E CICLOMOTOR REBOCANDO OUTRO VEICULO 
709-91 ,ART 244 VII DO CTB ,CONDUZIR MOTOCICLETA/MOTONETA/CICLOMOTOR SEM SEGURAR O GUIDOM COM AMBAS AS MAOS 
709-92 ,ART 244 VII DO CTB ,CONDUZIR CICLO SEM SEGURAR O GUIDOM COM AMBAS AS MAOS 
710-21 ,ART 244 VIII DO CTB ,CONDUZIR MOTOCICLETA MOTONETA E CICLOMOTOR TRANSPORTANDO CARGA INCOMPATIVEL 
710-22 ,ART 244 VIII DO CTB c/c §1o ,CONDUZIR CICLO TRANSPORTANDO CARGA INCOMPATIVEL 
710-23 ,ART 244 VIII DO CTB ,CONDUZIR MOTOC/MOTON TRANSPORTANDO CARGA EM DESACORDO C/ PAR 2 DO ART 139-A 
711-00 ,ART 244P.1 A DO CTB ,CONDUZIR CICLO TRANSPORTANDO PASSAGEIRO FORA DA GARUPA/ASSENTO A ELE DESTINADO 
712-91 ,ART 244P.1 B DO CTB ,CONDUZIR CICLO EM VIA DE TRANSITO RAPIDO/RODOVIA SEM ACOSTAMENTO/FAIXA PROPRIA 
712-92 ,ART 244P.1 B DO CTB ,CONDUZIR CICLOMOTOR VIA DE TRANSITO RAPIDO/RODOVIA S/ ACOSTAMENTO/FAIXA PROPRIA 
713-70 ,ART 244P.1 C DO CTB ,CONDUZIR CICLO TRANSPORTANDO CRIANCA S/ CONDICAO DE CUIDAR PROPRIA SEGURANCA 
714-50 ,ART 245 DO CTB ,UTILIZAR A VIA PARA DEPOSITO DE MERCADORIAS MATERIAIS OU EQUIPAMENTOS 
715-31 ,ART 246 DO CTB ,DEIXAR DE SINALIZAR OBSTACULO A CIRCULACAO/SEGURANCA CALCADA/PISTA-S/AGRAVAMENTO 
715-32 ,ART 246 DO CTB ,OBSTACULIZAR A VIA INDEVIDAMENTE-S/AGRAVAMENTO 
716-01 ,ART 246 DO CTB ,DEIXAR DE SINALIZAR OBSTACULO CIRCULACAO/SEGURANCA CALCADA/PISTA-AGRAVAMENTO 2X 
716-02 ,ART 246 DO CTB ,OBSTACULIZAR A VIA INDEVIDAMENTE-AGRAVAMENTO 2X 
717-01 ,ART 246 DO CTB ,DEIXAR DE SINALIZAR OBSTACULO CIRCULACAO/SEGURANCA CALCADA/PISTA-AGRAVAMENTO 3X 
717-02 ,ART 246 DO CTB ,OBSTACULIZAR A VIA INDEVIDAMENTE-AGRAVAMENTO 3X 
718-81 ,ART 246 DO CTB ,DEIXAR DE SINALIZAR OBSTACULO CIRCULACAO/SEGURANCA CALCADA/PISTA-AGRAVAMENTO 4X 
718-82 ,ART 246 DO CTB ,OBSTACULIZAR A VIA INDEVIDAMENTE-AGRAVAMENTO 4X 
719-61 ,ART 246 DO CTB ,DEIXAR DE SINALIZAR OBSTACULO CIRCULACAO/SEGURANCA CALCADA/PISTA-AGRAVAMENTO 5X 
719-62 ,ART 246 DO CTB ,OBSTACULIZAR A VIA INDEVIDAMENTE-AGRAVAMENTO 5X 
720-01 ,ART 247 DO CTB ,DEIXAR DE CONDUZIR PELO BORDO PISTA EM FILA UNICA VEIC TRACAO/PROPULSAO HUMANA 
720-02 ,ART 247 DO CTB ,DEIXAR DE CONDUZIR PELO BORDO DA PISTA EM FILA UNICA VEICULO DE TRACAO ANIMAL 
721-80 ,ART 248 DO CTB ,TRANSPORTAR EM VEIC DESTINADO TRANSP PASSAGEIROS CARGA EXCEDENTE DESAC ART.109 
722-61 ,ART 249 DO CTB ,DEIXAR DE MANTER ACESAS A NOITE AS LUZES POSICAO QDO O VEICULO ESTIVER PARADO 
722-62 ,ART 249 DO CTB ,DEIXAR DE MANTER ACESAS A NOITE AS LUZES DE POSICAO VEIC FAZENDO CARGA/DESCARGA 
723-40 ,ART 250 I A DO CTB ,EM MOVIMENTO DEIXAR DE MANTER ACESA A LUZ BAIXA DURANTE A NOITE 
724-20 ,ART 250 I B DO CTB ,EM MOVIMENTO DE DIA DEIXAR DE MANTER ACESA LUZ BAIXA TUNEL COM ILUMINACAO PUBL 
725-00 ,ART 250 I C DO CTB ,EM MOV DEIXAR DE MANTER ACESA LUZ BAIXA VEIC TRANSP COLETIVO FAIXA/PISTA EXCL 
726-90 ,ART 250 I D DO CTB ,EM MOVIMENTO DEIXAR DE MANTER ACESA LUZ BAIXA DO CICLOMOTOR 
727-70 ,ART 250 II DO CTB ,EM MOV DEIXAR DE MANTER ACESAS LUZES DE POSICAO SOB CHUVA FORTEEBLINA/CERRACAO 
728-50 ,ART 250 III DO CTB ,EM MOVIMENTO DEIXAR DE MANTER A PLACA TRASEIRA ILUMINADA A NOITE 
729-30 ,ART 251 I DO CTB ,UTILIZAR O PISCA-ALERTA EXCETO EM IMOBILIZACOES OU SITUACOES DE EMERGENCIA 
730-70 ,ART 251 II A DO CTB ,UTILIZAR LUZ ALTA E BAIXA INTERMITENTE EXCETO QUANDO PERMITIDO PELO CTB 
731-50 ,ART 252 I DO CTB ,DIRIGIR O VEICULO COM O BRACO DO LADO DE FORA 
732-31 ,ART 252 II DO CTB ,DIRIGIR O VEICULO TRANSPORT PESSOAS A SUA ESQUERDA OU ENTRE OS BRACOS E PERNAS 
732-32 ,ART 252 II DO CTB ,DIRIGIR O VEICULO TRANSPORT ANIMAIS A SUA ESQUERDA OU ENTRE OS BRACOS E PERNAS 
732-33 ,ART 252 II DO CTB ,DIRIGIR O VEICULO TRANSPORT VOLUME A SUA ESQUERDA OU ENTRE OS BRACOS E PERNAS 
733-10 ,ART 252 III DO CTB ,DIRIGIR O VEICULO COM INCAPACIDADE FISICA OU MENTAL TEMPORARIA 
734-00 ,ART 252 IV DO CTB ,DIRIGIR O VEIC USANDO CALCADO QUE N SE FIRME NOS PES/COMPROMETA UTILIZ PEDAIS 
735-80 ,ART 252 V DO CTB ,DIRIGIR O VEICULO COM APENAS UMA DAS MAOS EXCETO QUANDO PERMITIDO PELO CTB 
736-61 ,ART 252 VI DO CTB ,DIRIGIR O VEICULO UTILIZANDO-SE DE FONES NOS OUVIDOS CONEC A APARELHAGEM SONORA 
736-62 ,ART 252 VI DO CTB ,DIRIGIR VEICULO UTILIZANDO-SE DE TELEFONE CELULAR 
737-40 ,ART 253 DO CTB ,BLOQUEAR A VIA COM VEICULO 
738-20 ,ART 254 I DO CTB ,E PROIB AO PEDESTRE PERMANECER/ANDAR PISTA EXCETO P/ CRUZA-LAS ONDE PERMITIDO 
739-01 ,ART 254 II DO CTB ,E PROIBIDO AO PEDESTRE CRUZAR PISTA DE ROLAMENTO DE VIADUTO EXC ONDE PERMITIDO 
739-02 ,ART 254 II DO CTB ,E PROIBIDO AO PEDESTRE CRUZAR PISTA DE ROLAMENTO DE PONTE EXCETO ONDE PERMITIDO 
739-03 ,ART 254 II DO CTB ,E PROIBIDO AO PEDESTRE CRUZAR PISTA DE ROLAMENTO DE TUNEIS EXCETO ONDE PERMITIDO 
740-40 ,ART 254 III DO CTB ,E PROIB AO PEDESTRE ATRAVESSAR VIA AREA CRUZAMENTO EXC ONDE PERMITIDO P/ SINALIZ 
741-20 ,ART 254 IV DO CTB ,E PROIB PEDESTRE UTILIZAR VIA EM AGRUPAM QUE PERTURBE TRANS/PRAT ESPORTE/DESFILE 
742-01 ,ART 254 V DO CTB ,E PROIBIDO AO PEDESTRE ANDAR FORA DA FAIXA PROPRIA 
742-02 ,ART 254 V DO CTB ,E PROIBIDO AO PEDESTRE ANDAR FORA DA PASSARELA 
742-03 ,ART 254 V DO CTB ,E PROIBIDO AO PEDESTRE ANDAR FORA DA PASSAGEM AEREA 
742-04 ,ART 254 V DO CTB ,E PROIBIDO AO PEDESTRE ANDAR FORA DA PASSAGEM SUBTERRANEA 
743-90 ,ART 254 VI DO CTB ,E PROIBIDO AO PEDESTRE DESOBEDECER A SINALIZACAO DE TRANSITO ESPECIFICA 
744-71 ,ART 255 DO CTB ,CONDUZIR BICICLETA EM PASSEIOS ONDE NAO SEJA PERMITIDA A CIRCULACAO DESTA 
744-72 ,ART 255 DO CTB ,CONDUZIR BICICLETA DE FORMA AGRESSIVA 
745-50 ,ART 218 I DO CTB ,TRANSITAR VELOC SUP MAX PERMITIDA EM ATE 20% 
746-30 ,ART 218 II DO CTB ,TRANSITAR VELOC SUP MAX PERMITIDA EM MAIS DE 20% ATE 50% 
747-10 ,ART 218 III DO CTB ,TRANSITAR VELOC SUP MAX PERMITIDA EM MAIS DE 50% 
748-01 ,93 C/C 95 ,APROVAR PROJ EDIFICACAO POLO ATRATIVO TRANSITO S/ ANUENCIA ORGAO/ENTID TRANSITO 
748-02 ,93 C/C 95 ,APROVAR PROJ EDIFICACAO POLO ATRATIVO TRANS S/ ESTACION/INDICACAO VIAS DE ACESSO 
