521-51 ,ART 170 DO CTB ,DIRIGIR AMEACANDO OS PEDESTRES QUE ESTEJAM ATRAVESSANDO A VIA PUBLICA 
521-52 ,ART 170 DO CTB ,DIRIGIR AMEACANDO OS DEMAIS VEICULOS 
522-31 ,ART 171 DO CTB ,USAR VEICULO PARA ARREMESSAR SOBRE OS PEDESTRES AGUA OU DETRITOS 
522-32 ,ART 171 DO CTB ,USAR VEICULO PARA ARREMESSAR SOBRE OS VEICULOS AGUA OU DETRITOS 
523-11 ,ART 172 DO CTB ,ATIRAR DO VEICULO OBJETOS OU SUBSTANCIAS 
523-12 ,ART 172 DO CTB ,ABANDONAR NA VIA OBJETOS OU SUBSTANCIAS 
524-00 ,ART 173 DO CTB ,DISPUTAR CORRIDA POR ESPIRITO DE EMULACAO 
525-81 ,ART 174 DO CTB ,PROMOVER NA VIA COMPETICAO ESPORTIVA SEM PERMISSAO 
525-82 ,ART 174 DO CTB ,PROMOVER NA VIA EVENTOS ORGANIZADOS SEM PERMISSAO 
525-83 ,ART 174 DO CTB ,PROMOVER NA VIA EXIBICAO E DEMONSTRACAO DE PERICIA EM MANOBRA DE VEICULO 
526-61 ,ART 174 DO CTB ,PARTICIPAR NA VIA COMO CONDUTOR EM COMPETICAO ESPORTIVA SEM PERMISSAO 
526-62 ,ART 174 DO CTB ,PARTICIPAR NA VIA COMO CONDUTOR EM EVENTO ORGANIZADO SEM PERMISSAO 
526-63 ,ART 174 DO CTB ,PARTICIPAR COMO CONDUTOR EXIB/DEMONST PERICIA EM MANOBRA DE VEIC S/ PERMISSAO 
527-41 ,ART 175 DO CTB ,UTILIZAR-SE DE VEICULO PARA DEMONSTRAR OU EXIBIR MANOBRA PERIGOSA 
527-42 ,ART 175 DO CTB ,UTILIZAR-SE DE VEICULO PARA DEMONSTRAR OU EXIBIR ARRANCADA BRUSCA 
527-43 ,ART 175 DO CTB ,UTILIZAR-SE DE VEICULO PARA DEMONSTRAR OU EXIBIR DERRAPAGEM OU FRENAGEM 
528-20 ,ART 176 I DO CTB ,DEIXAR O COND ENVOLVIDO EM ACIDENTE DE PRESTAR OU PROVIDENCIAR SOCORRO A VITIMA 
529-00 ,ART 176 II DO CTB ,DEIXAR O COND ENVOLVIDO EM ACID DE ADOTAR PROVID P/ EVITAR PERIGO P/O TRANSITO 
530-40 ,ART 176 III DO CTB ,DEIXAR O COND ENVOLVIDO EM ACIDENTE DE PRESERVAR LOCAL P/ TRAB POLICIA/PERICIA 
531-20 ,ART 176 IV DO CTB ,DEIXAR O COND ENVOLVIDO EM ACID DE REMOVER O VEIC LOCAL QDO DETERM POLIC/AGENTE 
532-00 ,ART 176 V DO CTB ,DEIXAR O COND ENVOLVIDO EM ACID DE IDENTIFICAR-SE POLICIAL E PRESTAR INF P/O BO 
533-90 ,ART 177 DO CTB ,DEIXAR O COND DE PRESTAR SOCORRO VITIMA ACID DE TRANSITO QDO SOLICIT P/ AGENTE 
534-70 ,ART 178 DO CTB ,DEIXAR O CONDUTOR ENVOLVIDO EM ACIDENTE S/ VITIMA DE REMOVER O VEICULO DO LOCAL 
535-50 ,ART 179 I DO CTB ,FAZER OU DEIXAR QUE SE FACA REPARO EM VEIC EM RODOVIA E VIA DE TRANSITO RAPIDO 
536-30 ,ART 179 II DO CTB ,FAZER/DEIXAR QUE SE FACA REPARO EM VEIC NAS VIAS (Q NAO RODOVIA/TRANSITO RAPIDO) 
537-10 ,ART 180 DO CTB ,TER SEU VEICULO IMOBILIZADO NA VIA POR FALTA DE COMBUSTIVEL 
538-00 ,ART 181 I DO CTB ,ESTACIONAR NAS ESQUINAS E A MENOS DE 5M DO ALINHAMENTO DA VIA TRANSVERSAL 
539-80 ,ART 181 II DO CTB ,ESTACIONAR AFASTADO DA GUIA DA CALCADA (MEIO-FIO) DE 50CM A 1M 
540-10 ,ART 181 III DO CTB ,ESTACIONAR AFASTADO DA GUIA DA CALCADA (MEIO-FIO) A MAIS DE 1M 
541-00 ,ART 181 IV DO CTB ,ESTACIONAR EM DESACORDO COM AS POSICOES ESTABELECIDAS NO CTB 
542-81 ,ART 181 V DO CTB ,ESTACIONAR NA PISTA DE ROLAMENTO DAS ESTRADAS 
542-82 ,ART 181 V DO CTB ,ESTACIONAR NA PISTA DE ROLAMENTO DAS RODOVIAS 
542-83 ,ART 181 V DO CTB ,ESTACIONAR NA PISTA DE ROLAMENTO DAS VIAS DE TRANSITO RAPIDO 
542-84 ,ART 181 V DO CTB ,ESTACIONAR NA PISTA DE ROLAMENTO DAS VIAS DOTADAS DE ACOSTAMENTO 
543-60 ,ART 181 VI DO CTB ,ESTACIONAR JUNTO/SOBRE HIDR DE INCENDIO REG DE AGUA/TAMPA DE POCO VISIT GAL SUB 
544-40 ,ART 181 VII DO CTB ,ESTACIONAR NOS ACOSTAMENTOS 
545-21 ,ART 181 VIII DO CTB ,ESTACIONAR NO PASSEIO 
545-22 ,ART 181 VIII DO CTB ,ESTACIONAR SOBRE FAIXA DESTINADA A PEDESTRE 
545-23 ,ART 181 VIII DO CTB ,ESTACIONAR SOBRE CICLOVIA OU CICLOFAIXA 
545-24 ,ART 181 VIII DO CTB ,ESTACIONAR NAS ILHAS OU REFUGIOS 
545-25 ,ART 181 VIII DO CTB ,ESTACIONAR AO LADO OU SOBRE CANTEIRO CENTRAL 
545-26 ,ART 181 VIII DO CTB ,ESTACIONAR AO LADO/SOBRE DIVISORES DE PISTA DE ROLAMENTO/MARCAS DE CANALIZACAO 
