526-62 ,"PARTICIPAR NA VIA COMO CONDUTOR EM EVENTO ORGANIZADO, SEM PERMISSAO "
526-63 ,"PARTICIPAR COMO CONDUTOR EXIB/DEMONST PERICIA EM MANOBRA DE VEIC, S/ PERMISSAO "
527-41 ,UTILIZAR-SE DE VEICULO PARA DEMONSTRAR OU EXIBIR MANOBRA PERIGOSA 
527-42 ,UTILIZAR-SE DE VEICULO PARA DEMONSTRAR OU EXIBIR ARRANCADA BRUSCA 
527-43 ,UTILIZAR-SE DE VEICULO PARA DEMONSTRAR OU EXIBIR DERRAPAGEM OU FRENAGEM 
528-20 ,"DEIXAR O COND ENVOLVIDO EM ACIDENTE, DE PRESTAR OU PROVIDENCIAR SOCORRO A VITIMA "
529-00 ,"DEIXAR O COND ENVOLVIDO EM ACID, DE ADOTAR PROVID P/ EVITAR PERIGO P/O TRANSITO "
530-40 ,"DEIXAR O COND ENVOLVIDO EM ACIDENTE, DE PRESERVAR LOCAL P/ TRAB POLICIA/PERICIA "
531-20 ,"DEIXAR O COND ENVOLVIDO EM ACID, DE REMOVER O VEIC LOCAL QDO DETERM POLIC/AGENTE "
532-00 ,"DEIXAR O COND ENVOLVIDO EM ACID, DE IDENTIFICAR-SE POLICIAL E PRESTAR INF P/O BO "
533-90 ,"DEIXAR O COND DE PRESTAR SOCORRO VITIMA ACID DE TRANSITO, QDO SOLICIT P/ AGENTE "
534-70 ,"DEIXAR O CONDUTOR ENVOLVIDO EM ACIDENTE S/ VITIMA, DE REMOVER O VEICULO DO LOCAL "
535-50 ,"FAZER OU DEIXAR QUE SE FACA REPARO EM VEIC, EM RODOVIA E VIA DE TRANSITO RAPIDO "
536-30 ,FAZER/DEIXAR QUE SE FACA REPARO EM VEIC NAS VIAS (Q NAO RODOVIA/TRANSITO RAPIDO) 
537-10 ,TER SEU VEICULO IMOBILIZADO NA VIA POR FALTA DE COMBUSTIVEL 
538-00 ,ESTACIONAR NAS ESQUINAS E A MENOS DE 5M DO ALINHAMENTO DA VIA TRANSVERSAL 
539-80 ,ESTACIONAR AFASTADO DA GUIA DA CALCADA (MEIO-FIO) DE 50CM A 1M 
540-10 ,ESTACIONAR AFASTADO DA GUIA DA CALCADA (MEIO-FIO) A MAIS DE 1M 
541-00 ,ESTACIONAR EM DESACORDO COM AS POSICOES ESTABELECIDAS NO CTB 
542-81 ,ESTACIONAR NA PISTA DE ROLAMENTO DAS ESTRADAS 
542-82 ,ESTACIONAR NA PISTA DE ROLAMENTO DAS RODOVIAS 
542-83 ,ESTACIONAR NA PISTA DE ROLAMENTO DAS VIAS DE TRANSITO RAPIDO 
542-84 ,ESTACIONAR NA PISTA DE ROLAMENTO DAS VIAS DOTADAS DE ACOSTAMENTO 
543-60 ,"ESTACIONAR JUNTO/SOBRE HIDR DE INCENDIO, REG DE AGUA/TAMPA DE POCO VISIT GAL SUB "
544-40 ,ESTACIONAR NOS ACOSTAMENTOS 
545-21 ,ESTACIONAR NO PASSEIO 
545-22 ,ESTACIONAR SOBRE FAIXA DESTINADA A PEDESTRE 
545-23 ,ESTACIONAR SOBRE CICLOVIA OU CICLOFAIXA 
545-24 ,ESTACIONAR NAS ILHAS OU REFUGIOS 
545-25 ,ESTACIONAR AO LADO OU SOBRE CANTEIRO CENTRAL 
545-26 ,ESTACIONAR AO LADO/SOBRE DIVISORES DE PISTA DE ROLAMENTO/MARCAS DE CANALIZACAO 
545-27 ,ESTACIONAR AO LADO OU SOBRE GRAMADO OU JARDIM PUBLICO 
546-00 ,ESTACIONAR EM GUIA DE CALCADA REBAIXADA DESTINADA A ENTRADA/SAIDA DE VEICULOS 
547-90 ,ESTACIONAR IMPEDINDO A MOVIMENTACAO DE OUTRO VEICULO 
548-70 ,ESTACIONAR AO LADO DE OUTRO VEICULO EM FILA DUPLA 
549-50 ,ESTACIONAR NA AREA DE CRUZAMENTO DE VIAS 
550-90 ,ESTACIONAR NO PONTO DE EMBARQUE/DESEMBARQUE DE PASSAGEIROS TRANSPORTE COLETIVO 
551-71 ,ESTACIONAR NOS VIADUTOS 
551-72 ,ESTACIONAR NAS PONTES 
551-73 ,ESTACIONAR NOS TUNEIS 
552-50 ,ESTACIONAR NA CONTRAMAO DE DIRECAO 
553-30 ,"ESTACIONAR ACLIVE/DECLIVE N FREADO E SEM CALCO SEGURANCA, PBT SUPERIOR A 3500KG "
554-11 ,ESTACIONAR EM DESACORDO COM A REGULAMENTACAO ESPECIFICADA PELA SINALIZACAO 
554-12 ,ESTACIONAR EM DESACORDO COM A REGULAMENTACAO - ESTACIONAMENTO ROTATIVO 
554-13 ,ESTACIONAR EM DESACORDO COM A REGULAMENTACAO - PONTO OU VAGA DE TAXI 
554-14 ,ESTACIONAR EM DESACORDO COM A REGULAMENTACAO - VAGA DE CARGA/DESCARGA 
554-15 ,ESTACIONAR EM DESACORDO COM A REGULAMENTACAO - VAGA PORTADOR NECESSID ESPECIAIS 
554-16 ,ESTACIONAR EM DESACORDO COM A REGULAMENTACAO - VAGA IDOSO 
555-00 ,ESTACIONAR EM LOCAL/HORARIO PROIBIDO ESPECIFICAMENTE PELA SINALIZACAO 
556-80 ,ESTACIONAR LOCAL/HORARIO DE ESTACIONAMENTO E PARADA PROIBIDOS PELA SINALIZACAO 
